	Agalychnis_lemur	Allobates_talamancae	Atelopus_zeteki	Bolitoglossa_colonnea	Bolitoglossa_schizodactyla	Cochranella_euknemos	Cochranella_granulosa	Colostethus_inguinalis	Colostethus_sp.	Craugastor_azueroensis	Craugastor_bransfordii	Craugastor_crassidigitus	Craugastor_gollmeri	Craugastor_megacephalus	Craugastor_noblei	Craugastor_punctariolus	Craugastor_sp.	Craugastor_tabasarae	Craugastor_talamancae	Dendrobates_auratus	Dendrobates_vicente	Diasporus_diastema	Diasporus_diastema_orange	Diasporus_peep	Diasporus_vocator	Ecnomiohyla_miliaria	Eleutherodactylus_podi-noblei	Eleutherodactylus_spp	Engystomops_pustulosus	Espadarana_prosoblepon	Gastrotheca_cornuta	Hyalinobatrachium_chirripoi	Hyalinobatrachium_colymbiphyllum	Hyalinobatrachium_talamancae	Hyalinobatrachium_vireovittatum	Hyloscirtus_colymba	Hyloscirtus_palmeri	Incilus_coniferus	Leptodactylus_mystacinus	Leptodactylus_pentadactylus	Lithobates_warszewitschii	Nelsonophryne_aterrima	Phyllobates_lugubris	Pristimantis_caryophyllaceus	Pristimantis_cerasinus	Pristimantis_cruentus	Pristimantis_cruentus_masonii	Pristimantis_gaigei	Pristimantis_museosus	Pristimantis_pardalis	Pristimantis_ridens	Ranitomeya_minutus	Rhaebo_haematiticus	Rhinella_marina	Sachatamia_albomaculata	Sachatamia_ilex	Silverstoneia_flotator	Silverstoneia_nubicola	Smilisca_phaeota	Strabomantis_bufoniformis	Teratohyla_spinosa
90	0	0	0.131578947	0	0	0	0	0	0.842105263	0	0	0	0	0	0	0.026315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.033333333	0	0	0	0	0.2	0.033333333	0	0	0	0	0	0	0	0	0.233333333	0	0	0	0	0	0	0	0	0	0.033333333	0	0	0	0	0
92	0	0	0.025641026	0	0.025641026	0	0	0	0	0	0.025641026	0	0	0	0	0.025641026	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282051282	0	0	0.051282051	0.051282051	0	0.102564103	0.025641026	0	0	0	0	0	0	0	0	0.358974359	0	0	0.025641026	0	0	0	0	0	0	0	0	0	0	0	0
93	0	0	0.181818182	0	0	0	0	0	0.818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	0	0	0.214285714	0	0	0	0	0	0.785714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28125	0	0	0.0625	0	0	0.03125	0.03125	0	0	0	0	0	0	0	0	0.21875	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0
97	0	0	0.459459459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216216216	0	0	0.027027027	0.081081081	0	0	0.027027027	0.027027027	0	0	0	0	0.162162162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	0	0	0.25	0	0	0	0	0.083333333	0.5	0	0	0	0	0	0	0.083333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083333333	0	0	0	0	0	0	0	0
99	0	0	0	0	0	0	0	0.090909091	0.909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	0	0	0.206896552	0.034482759	0.034482759	0	0	0.034482759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137931034	0.068965517	0	0.068965517	0	0	0.172413793	0	0	0	0	0	0	0	0	0	0.137931034	0	0	0	0	0	0	0	0	0.068965517	0	0	0	0	0.034482759	0
