stage	surv	day	mo	month	yr	trans	SorT	AMorPM	pers	mins	mtrs	AmphibianCaps	AmphSpp	Aminper	Ametper	Density	Atelopus_zeteki	Espadarana_prosoblepon	Pristimantis_cruentus	SumofHosts
epi	149	23	2_November	11	2004	Silenciosa	S	A	1	50	200	3	3	0.06	0.015	0.015	0	0	0	0
epi	151	23	2_November	11	2004	Quebrada_Cascada	S	P	2	127	200	17	8	0.066929134	0.0425	0.0425	0.0025	0.0175	0.0025	0.0225
epi	153	24	2_November	11	2004	Quebrada_Cascada	S	A	2	52	200	3	3	0.028846154	0.0075	0.0075	0.0025	0	0.0025	0.005
epi	152	24	2_November	11	2004	Guabal	S	A	2	67	200	5	3	0.037313433	0.0125	0.0125	0.0075	0	0	0.0075
epi	156	27	2_November	11	2004	Main_Trail	T	P	2	126	400	15	9	0.05952381	0.01875	0.01875	0	0	0.00375	0.00375
epi	155	27	2_November	11	2004	Quebrada_Cascada	S	A	2	52	200	6	5	0.057692308	0.015	0.015	0	0	0	0
epi	154	27	2_November	11	2004	Guabal	S	A	1	31	200	3	1	0.096774194	0.015	0.015	0.015	0	0	0.015
epi	159	28	2_November	11	2004	Silenciosa	S	P	1	92	200	15	11	0.163043478	0.075	0.075	0	0.005	0.01	0.015
epi	162	30	2_November	11	2004	Silenciosa	S	A	2	37	200	4	3	0.054054054	0.01	0.01	0.0025	0	0	0.0025
epi	164	30	2_November	11	2004	Verrugosa	T	P	3	180	400	60	16	0.111111111	0.05	0.05	0	0	0.005833333	0.005833333
epi	166	1	3_December	12	2004	Silenciosa	S	A	1	38	200	2	1	0.052631579	0.01	0.01	0.01	0	0	0.01
epi	165	1	3_December	12	2004	Loop_Stream	S	A	2	38	200	5	3	0.065789474	0.0125	0.0125	0.0025	0	0	0.0025
epi	167	4	3_December	12	2004	Guabal	S	p	3	107	200	28	11	0.087227414	0.046666667	0.046666667	0.011666667	0	0.005	0.016666667
epi	174	7	3_December	12	2004	Loop_Trail	T	P	3	210	400	51	9	0.080952381	0.0425	0.0425	0	0	0.003333333	0.003333333
epi	175	8	3_December	12	2004	Guabal	S	A	3	34	200	4	2	0.039215686	0.006666667	0.006666667	0.005	0	0	0.005
epi	176	8	3_December	12	2004	Quebrada_Cascada	S	A	3	41	200	2	1	0.016260163	0.003333333	0.003333333	0	0	0	0
epi	178	10	3_December	12	2004	Silenciosa	S	p	2	80	200	18	9	0.1125	0.045	0.045	0	0.005	0.0075	0.0125
epi	179	11	3_December	12	2004	Guabal	S	A	1	70	200	3	3	0.042857143	0.015	0.015	0.005	0	0	0.005
epi	180	11	3_December	12	2004	Loop_Stream	S	A	2	47	200	3	2	0.031914894	0.0075	0.0075	0	0	0	0
epi	182	12	3_December	12	2004	Silenciosa	S	A	2	22	200	1	1	0.022727273	0.0025	0.0025	0	0	0	0
epi	191	17	3_December	12	2004	Guabal	S	P	2	46	200	6	5	0.065217391	0.015	0.015	0.0025	0	0	0.0025
epi	224	6	4_January	1	2005	Guabal	S	P	3	52	200	4	2	0.025641026	0.006666667	0.006666667	0	0.005	0	0.005
epi	225	7	4_January	1	2005	Main_Trail	T	A	2	54	360	12	5	0.111111111	0.016666667	0.016666667	0	0	0	0
epi	227	9	4_January	1	2005	Silenciosa	S	P	3	85	200	16	9	0.062745098	0.026666667	0.026666667	0	0.003333333	0.001666667	0.005
epi	229	10	4_January	1	2005	Loop_Stream	S	P	2	82	200	10	3	0.06097561	0.025	0.025	0	0.015	0	0.015
epi	230	11	4_January	1	2005	Verrugosa	T	A	3	67	400	12	4	0.059701493	0.01	0.01	0	0	0	0
epi	231	11	4_January	1	2005	Guabal	S	P	3	140	200	16	5	0.038095238	0.026666667	0.026666667	0.003333333	0.01	0	0.013333333
epi	233	13	4_January	1	2005	Main_Trail	T	P	3	128	360	27	11	0.0703125	0.025	0.025	0	0.000925926	0.006481481	0.007407407
epi	234	14	4_January	1	2005	Guabal	S	A	3	150	580	6	5	0.013333333	0.003448276	0.003448276	0.001149425	0	0	0.001149425
epi	235	14	4_January	1	2005	Loop_Trail	T	P	3	158	360	25	9	0.052742616	0.023148148	0.023148148	0	0	0.002777778	0.002777778
enzo08	2	21	5_Summer08	6	2008	Main_Trail	T	P	3	189	400	35	7	0.061728395	0.029166667	0.029166667	0	0	0.005833333	0.005833333
enzo08	4	23	5_Summer08	6	2008	Loop_Stream	S	P	2	70	200	5	4	0.035714286	0.0125	0.0125	0	0.005	0	0.005
enzo08	6	15	5_Summer08	7	2008	Main_Trail	T	P	2	191	400	39	9	0.102094241	0.04875	0.04875	0	0	0	0
enzo08	7	17	5_Summer08	7	2008	Loop_Stream	S	P	3	72	100	6	4	0.027777778	0.02	0.02	0	0.006666667	0	0.006666667
enzo10	3	11	6_Summer10	7	2010	Silenciosa	T	P	3	40	200	2	2	0.016666667	0.003333333	0.003333333	0	0	0.001666667	0.001666667
enzo10	4	11	6_Summer10	7	2010	Verrugosa	T	P	3	60	260	8	3	0.044444444	0.01025641	0.01025641	0	0	0.006410256	0.006410256
enzo10	6	12	6_Summer10	7	2010	Main_Trail	T	P	3	75	400	8	3	0.035555556	0.006666667	0.006666667	0	0	0.004166667	0.004166667
enzo10	7	12	6_Summer10	7	2010	Loop_Trail	T	P	3	50	380	12	3	0.08	0.010526316	0.010526316	0	0	0.000877193	0.000877193
enzo10	10	13	6_Summer10	7	2010	Guabal	S	P	3	80	200	7	4	0.029166667	0.011666667	0.011666667	0	0.006666667	0	0.006666667
enzo10	11	13	6_Summer10	7	2010	Quebrada_Cascada	S	P	3	70	200	6	3	0.028571429	0.01	0.01	0	0.005	0	0.005
enzo10	12	14	6_Summer10	7	2010	Loop_Stream	S	P	4	120	200	16	2	0.033333333	0.02	0.02	0	0.01875	0.00125	0.02
enzo10	18	16	6_Summer10	7	2010	Guabal	S	P	2	60	200	1	1	0.008333333	0.0025	0.0025	0	0	0	0
enzo10	19	16	6_Summer10	7	2010	Loop_Stream	S	P	2	80	200	5	1	0.03125	0.0125	0.0125	0	0.0125	0	0.0125
enzo10	22	17	6_Summer10	7	2010	Loop_Stream	S	P	3	110	200	5	2	0.015151515	0.008333333	0.008333333	0	0.006666667	0.001666667	0.008333334
