	S/T	Year	DiseaseStatus	Trans	Disease2
226	T	2005	Epizootic	Main_Trail	Epizootic
227	S	2005	Epizootic	Silenciosa	Epizootic
229	T	2005	Epizootic	Loop	Epizootic
230	T	2005	Epizootic	Verrugosa	Epizootic
231	S	2005	Epizootic	Guabal	Epizootic
233	T	2005	Epizootic	Main_Trail	Epizootic
234	S	2005	Epizootic	Guabal	Epizootic
235	T	2005	Epizootic	Loop_Trail	Epizootic
1b	S	2008	Enzootic2008	Loop_Stream	Enzootic
2b	T	2008	Enzootic2008	Main_Trail	Enzootic
3b	S	2008	Enzootic2008	Silenciosa	Enzootic
4b	S	2008	Enzootic2008	Loop_Stream	Enzootic
5b	S	2008	Enzootic2008	Silenciosa	Enzootic
6b	T	2008	Enzootic2008	Main_Trail	Enzootic
7b	S	2008	Enzootic2008	Loop_Stream	Enzootic
1	S	2010	Enzootic2010	Silenciosa	Enzootic
2	T	2010	Enzootic2010	Verrugosa	Enzootic
3	T	2010	Enzootic2010	Silenciosa	Enzootic
4	T	2010	Enzootic2010	Verrugosa	Enzootic
6	T	2010	Enzootic2010	Main_Trail	Enzootic
7	T	2010	Enzootic2010	Loop_Trail	Enzootic
8	S	2010	Enzootic2010	Loop_Stream	Enzootic
10	S	2010	Enzootic2010	Guabal	Enzootic
11	S	2010	Enzootic2010	Quebrada_Cascada	Enzootic
12	S	2010	Enzootic2010	Loop_Stream	Enzootic
13	T	2010	Enzootic2010	Main_Trail	Enzootic
18	S	2010	Enzootic2010	Guabal	Enzootic
19	S	2010	Enzootic2010	Loop_Stream	Enzootic
22	S	2010	Enzootic2010	Loop_Stream	Enzootic
